,DateTime,Open,High,Low,Close,Volume,Average
193,20200312,13.66,13.86,11.08,12.6,122831700,12.56689784
194,20200313,15.1,15.14,12.7,15.4,145235100,13.74834123
195,20200316,12.91,14.1,12.55,13.09,99574200,13.34836039
196,20200317,13.6,13.84,13.0,13.0,112243400,13.37035934
197,20200318,11.79,12.29,10.87,11.29,138568800,11.45545109
198,20200319,11.07,13.07,10.85,12.21,133430300,11.88843035
199,20200320,13.11,13.5,12.04,12.0,121474500,12.8263854
200,20200323,12.11,12.18,11.28,11.5,88606200,11.65044175
201,20200324,12.57,13.3,12.28,13.25,92505800,12.84688442
202,20200325,13.24,14.77,12.83,14.32,141992900,13.75734079
203,20200326,14.4,15.19,13.81,14.39,114687500,14.55780244
204,20200327,13.3,13.69,13.25,13.3,79115000,13.43985601
205,20200330,13.15,13.74,12.83,13.38,90882400,13.28486343
206,20200331,13.6,14.54,13.6,13.99,125081700,14.0578264
207,20200401,13.45,14.55,13.32,14.3,99177200,13.9868298
208,20200402,15.4,16.55,15.01,15.51,214373700,15.86373986
209,20200403,16.3,16.36,14.93,15.34,123784700,15.43976018
210,20200406,16.05,16.1,15.18,15.77,101905700,15.73274614
211,20200407,16.61,17.07,16.5,16.4,119483400,16.75669708
212,20200408,16.5,17.53,16.4,17.32,95495000,16.88169109
213,20200409,17.94,18.69,16.5,16.82,169614400,17.64265462
214,20200413,16.82,17.09,16.33,16.93,81601700,16.74119782
215,20200414,17.02,17.3,16.61,16.73,80446900,16.99318574
216,20200415,16.04,16.47,15.86,16.38,73144400,16.14872621
217,20200416,16.67,16.76,15.53,15.72,91025000,16.01573258
218,20200417,15.75,16.05,15.56,16.13,98471300,15.79474317
219,20200420,15.48,16.33,15.34,15.95,116065700,15.84974053
220,20200422,15.85,16.6,15.78,16.75,97102500,16.25372118
221,20200423,17.2,17.43,16.62,16.95,85521600,17.11768375
222,20200424,16.69,16.79,15.28,15.95,138210400,15.99961094
223,20200427,16.14,16.43,15.78,16.45,69615500,16.1426
224,20200428,17.04,17.25,16.63,17.25,78149600,16.987
225,20200429,17.8,18.46,17.53,18.2,82161600,18.0305
226,20200430,17.98,18.42,17.7,18.05,60841900,18.06
227,20200504,17.43,17.62,17.18,17.38,47776900,17.382
228,20200505,17.9,18.48,17.89,17.94,58930400,18.256
229,20200506,17.87,18.06,17.32,17.28,54658300,17.6135
230,20200507,17.75,17.87,17.35,17.44,66664100,17.627
231,20200508,17.74,18.58,17.71,18.48,69247100,18.2435
232,20200511,18.3,18.93,18.11,18.15,55679200,18.4835
233,20200512,18.53,18.83,18.28,18.14,56734100,18.538
234,20200513,18.26,18.35,17.52,17.59,72222500,17.805
235,20200514,17.4,17.47,16.72,17.4,90005400,17.063
236,20200515,17.99,18.19,17.24,17.15,116094500,17.775
237,20200518,18.1,18.5,17.92,18.54,96071900,18.2885
238,20200519,18.51,18.93,18.41,18.68,65712800,18.7315
239,20200520,19.09,19.44,19.06,19.3,63649400,19.2515
240,20200521,19.5,19.77,19.07,19.19,65885100,19.448
241,20200522,18.8,18.9,18.35,18.67,60200100,18.6115
242,20200525,19.48,19.56,19.26,19.48,31417400,19.449
